DATE:  12/05/2020           YEAR-TO-DATE SALES REPORT                 PAGE: 0001
TIME:  13:32                                                          RPT1000

CUST                            SALES         SALES         CHANGE     CHANGE
NUM    CUSTOMER NAME           THIS YTD      LAST YTD       AMOUNT    PERCENT


12345  CAREER TRAINING CTR    12,345.67     22,222.22      9,876.55-    44.4-
22222  HOMELITE TEXTRON CO    34,545.00          0.00        999.90    999.9
55555  POLOT LIFE INS. CO.    10,000.00      1,000.00      9,000.00    900.0
00111  DAUPHIN DEPOSIT BANK   14,099.00     19,930.00      5,831.00-    29.3-
12121  GENERAL SERVICES CO.   11,444.00     11,049.56        394.44      3.6
24680  INFO MANGEMENT CO.     17,481.45     13,892.47      3,588.98     25.8
14681  TATA COFFEE PRIVATE.   27,483.45     21,832.47      5,650.98     25.9
14682  TATA CONSUMER CO.      57,481.45     51,432.47      6,048.98     11.8
14683  TATA CHEMICAL LTD.     43,443.45     41,834.47      1,608.98      3.8
14684  COAL INDIA PVT LTD     17,481.45     21,832.47      4,351.02-    19.9-
14685  ZINTEC PRVIATE LTD     27,481.45     21,832.47      5,648.98     25.9
14686  SENTIALS LOCAL PVT     37,481.45     21,832.47     15,648.98     71.7
14687  CORAL1INDIA FINANCE.   47,481.45     21,832.47     25,648.98    117.5
14688  CORAL2INDIA FINANCE.   57,481.45     21,832.47     35,648.98    163.3
14689  CORAL3INDIA FINANCE.   67,481.45     21,832.47     45,648.98    209.1
14690  CORAL4INDIA FINANCE.   77,481.45     21,832.47     55,648.98    254.9
14691  CORAL5INDIA FINANCE.   87,481.45     22,832.47     64,648.98    283.1
14692  CORAL6INDIA FINANCE.   97,481.45     21,232.27     76,249.18    359.1
14693  CORAL7INDIA FINANCE.   17,481.45     21,824.47      4,343.02-    19.9-
14694  CORAL8INDIA FINANCE.   27,481.45     21,832.47      5,648.98     25.9
11694  CORAL9INDIA FINANCE.   27,481.45     11,842.47     15,638.98    132.1
12694  KING01 INDI FINANCE.   22,481.45     21,834.47        646.98      3.0
13694  KING02 INDI FINANCE.   23,481.45     21,822.47      1,658.98      7.6
14694  KING03 INDI FINANCE.   27,381.45     21,132.47      6,248.98     29.6
15694  KING04 INDI FINANCE.   21,481.45     21,812.47        331.02-     1.5-
16694  KING05 INDI FINANCE.   27,181.45     24,812.47      2,368.98      9.5
17694  KING06 INDI FINANCE.   21,181.45     21,831.44        649.99-     3.0-
18694  KING07 INDI FINANCE.   22,181.45     21,812.17        369.28      1.7
19694  KING08 INDI FINANCE.   22,181.45     21,821.47        359.98      1.6
24694  KING09 INDI FINANCE.   23,181.45     21,831.47      1,349.98      6.2
34694  KING10 INDI FINANCE.   23,411.45     21,831.47      1,579.98      7.2
44694  KING11 INDI FINANCE.   23,481.45     21,831.47      1,649.98      7.6
54694  KING12 INDI FINANCE.   24,481.45     21,832.47      2,648.98     12.1
64694  KING13 INDI FINANCE.   25,411.45     41,832.47     16,421.02-    39.3-
74694  KING14 INDI FINANCE.   26,411.45     31,832.24      5,420.79-    17.0-
84694  KING15 INDI FINANCE.   27,111.45     31,134.27      4,022.82-    12.9-
33694  WIPRO INDIA FINANCE.   17,481.45     31,811.47     14,330.02-    45.0-
31694  INFY 1INDIA FINANCE.   27,481.45     31,832.17      4,350.72-    13.7-
32694  INFY 2INDIA FINANCE.   27,481.45     22,822.47      4,658.98     20.4
34694  INFY 3INDIA FINANCE.   37,481.45     21,832.47     15,648.98     71.7
35694  INFY 4INDIA FINANCE.   37,481.45     21,822.47     15,658.98     71.8
36694  INFY 5INDIA FINANCE.   24,481.45     22,232.47      2,248.98     10.1
37694  INFY 6INDIA FINANCE.   23,481.45     21,832.47      1,648.98      7.6
38694  INFY 7INDIA FINANCE.   27,481.45     21,842.22      5,639.23     25.8
39694  INFY 8INDIA FINANCE.   22,231.45     24,132.47      1,901.02-     7.9-
51694  INFY 9INDIA FINANCE.   27,482.45     21,812.47      5,669.98     26.0
52694  INFY10INDIA FINANCE.   27,481.45     21,431.47      6,049.98     28.2
54694  INFY11INDIA FINANCE.   23,421.45     21,231.47      2,189.98     10.3
55694  INFY12INDIA FINANCE.   37,481.45     21,832.47     15,648.98     71.7
57694  INFY14INDIA FINANCE.   47,481.45     21,832.47     25,648.98    117.5
58694  INFY15INDIA FINANCE.   47,481.45     21,832.47     25,648.98    117.5
59694  INFY16INDIA FINANCE.   47,481.45     21,832.47     25,648.98    117.5
71694  INFY17INDIA FINANCE.   47,481.45     21,832.47     25,648.98    117.5
72694  INFY18INDIA FINANCE.   47,481.45     21,832.47     25,648.98    117.5
73694  INFY19INDIA FINANCE.   47,481.45     21,832.47     25,648.98    117.5

DATE:  12/05/2020           YEAR-TO-DATE SALES REPORT                 PAGE: 0002
TIME:  13:32                                                          RPT1000

CUST                            SALES         SALES         CHANGE     CHANGE
NUM    CUSTOMER NAME           THIS YTD      LAST YTD       AMOUNT    PERCENT

74694  INFY22INDIA FINANCE.   47,481.45     21,832.47     25,648.98    117.5
85694  INFY23INDIA FINANCE.   47,481.45     21,832.47     25,648.98    117.5
77694  INFY24INDIA FINANCE.   47,481.45     21,832.47     25,648.98    117.5
89694  INFY25INDIA FINANCE.   47,481.45     21,832.47     25,648.98    117.5
90694  INFY26INDIA FINANCE.   47,481.45     21,832.47     25,648.98    117.5
91694  INFY27INDIA FINANCE.   10,000.00          0.00        999.90    999.9
92694  INFY28INDIA FINANCE.   10,000.00     10,000.00          0.00       .0

                           2,082,388.42  1,361,216.12    721,172.30     53.0
